subject	group	syllable	usage	treat
4	0	6	0.022440	Saline
8	1	6	0.007870	LSD_0.1
9	2	6	0.010546	LSD_0.3
15	2	6	0.010265	LSD_0.3
1	0	6	0.021361	Saline
14	1	6	0.049781	LSD_0.1
7	0	6	0.033602	Saline
12	2	6	0.012108	LSD_0.3
11	1	6	0.002150	LSD_0.1
5	1	6	0.024233	LSD_0.1
6	2	6	0.020276	LSD_0.3
22	0	7	0.028924	Saline
23	1	7	0.005162	LSD_0.1
16	0	7	0.006404	Saline
18	2	7	0.026426	LSD_0.3
24	2	7	0.018500	LSD_0.3
19	0	7	0.014639	Saline
17	1	7	0.014411	LSD_0.1
13	0	7	0.034574	Saline
3	2	7	0.019676	LSD_0.3
20	1	7	0.024257	LSD_0.1
21	2	7	0.022618	LSD_0.3
2	1	7	0.030559	LSD_0.1
10	0	7	0.062692	Saline
4	0	7	0.010106	Saline
8	1	7	0.018533	LSD_0.1
9	2	7	0.017000	LSD_0.3
15	2	7	0.029544	LSD_0.3
1	0	7	0.016963	Saline
14	1	7	0.020918	LSD_0.1
7	0	7	0.015701	Saline
12	2	7	0.026154	LSD_0.3
11	1	7	0.017377	LSD_0.1
5	1	7	0.025767	LSD_0.1
6	2	7	0.027394	LSD_0.3
22	0	8	0.013112	Saline
23	1	8	0.027639	LSD_0.1
16	0	8	0.014377	Saline
18	2	8	0.008748	LSD_0.3
24	2	8	0.028333	LSD_0.3
19	0	8	0.012167	Saline
17	1	8	0.010687	LSD_0.1
13	0	8	0.010372	Saline
3	2	8	0.024065	LSD_0.3
20	1	8	0.035883	LSD_0.1
21	2	8	0.007624	LSD_0.3
2	1	8	0.017896	LSD_0.1
10	0	8	0.030538	Saline
4	0	8	0.056323	Saline
8	1	8	0.015232	LSD_0.1
9	2	8	0.005509	LSD_0.3
15	2	8	0.011517	LSD_0.3
1	0	8	0.004188	Saline
14	1	8	0.015891	LSD_0.1
7	0	8	0.037564	Saline
12	2	8	0.039393	LSD_0.3
11	1	8	0.026155	LSD_0.1
5	1	8	0.022393	LSD_0.1
6	2	8	0.009491	LSD_0.3
22	0	9	0.017547	Saline
23	1	9	0.035298	LSD_0.1
16	0	9	0.026794	Saline
18	2	9	0.012211	LSD_0.3
24	2	9	0.022667	LSD_0.3
19	0	9	0.019582	Saline
17	1	9	0.012791	LSD_0.1
13	0	9	0.015457	Saline
3	2	9	0.027395	LSD_0.3
20	1	9	0.020382	LSD_0.1
21	2	9	0.013723	LSD_0.3
2	1	9	0.017559	LSD_0.1
10	0	9	0.015350	Saline
4	0	9	0.020508	Saline
8	1	9	0.028434	LSD_0.1
9	2	9	0.019518	LSD_0.3
15	2	9	0.021783	LSD_0.3
1	0	9	0.010471	Saline
14	1	9	0.024323	LSD_0.1
7	0	9	0.022744	Saline
12	2	9	0.021957	LSD_0.3
11	1	9	0.020423	LSD_0.1
5	1	9	0.029448	LSD_0.1
6	2	9	0.025453	LSD_0.3
22	0	10	0.017547	Saline
23	1	10	0.004995	LSD_0.1
16	0	10	0.012939	Saline
18	2	10	0.030436	LSD_0.3
24	2	10	0.016000	LSD_0.3
19	0	10	0.023764	Saline
17	1	10	0.029955	LSD_0.1
13	0	10	0.032337	Saline
3	2	10	0.024065	LSD_0.3
20	1	10	0.024401	LSD_0.1
21	2	10	0.016010	LSD_0.3
2	1	10	0.039338	LSD_0.1
10	0	10	0.003070	Saline
4	0	10	0.011592	Saline
8	1	10	0.019040	LSD_0.1
9	2	10	0.016842	LSD_0.3
15	2	10	0.048072	LSD_0.3
1	0	10	0.035602	Saline
14	1	10	0.021080	LSD_0.1
7	0	10	0.006897	Saline
12	2	10	0.025509	LSD_0.3
11	1	10	0.031530	LSD_0.1
5	1	10	0.017945	LSD_0.1
6	2	10	0.015099	LSD_0.3
22	0	11	0.014269	Saline
23	1	11	0.054945	LSD_0.1
16	0	11	0.015423	Saline
18	2	11	0.011846	LSD_0.3
24	2	11	0.025667	LSD_0.3
19	0	11	0.007224	Saline
17	1	11	0.021211	LSD_0.1
13	0	11	0.003661	Saline
3	2	11	0.020282	LSD_0.3
20	1	11	0.033443	LSD_0.1
21	2	11	0.005845	LSD_0.3
2	1	11	0.021611	LSD_0.1
10	0	11	0.021490	Saline
4	0	11	0.025412	Saline
8	1	11	0.020817	LSD_0.1
9	2	11	0.004407	LSD_0.3
15	2	11	0.022784	LSD_0.3
1	0	11	0.004188	Saline
14	1	11	0.016377	LSD_0.1
7	0	11	0.052238	Saline
12	2	11	0.025831	LSD_0.3
11	1	11	0.021677	LSD_0.1
5	1	11	0.019632	LSD_0.1
6	2	11	0.010354	LSD_0.3
22	0	12	0.016197	Saline
23	1	12	0.012321	LSD_0.1
16	0	12	0.025748	Saline
18	2	12	0.002916	LSD_0.3
24	2	12	0.021500	LSD_0.3
19	0	12	0.021863	Saline
17	1	12	0.022345	LSD_0.1
13	0	12	0.006101	Saline
3	2	12	0.021341	LSD_0.3
20	1	12	0.048514	LSD_0.1
21	2	12	0.008132	LSD_0.3
2	1	12	0.022793	LSD_0.1
10	0	12	0.009695	Saline
4	0	12	0.056472	Saline
8	1	12	0.011932	LSD_0.1
9	2	12	0.008343	LSD_0.3
15	2	12	0.008012	LSD_0.3
1	0	12	0.004398	Saline
14	1	12	0.015080	LSD_0.1
7	0	12	0.028760	Saline
12	2	12	0.023410	LSD_0.3
11	1	12	0.017736	LSD_0.1
5	1	12	0.043405	LSD_0.1
6	2	12	0.004314	LSD_0.3
22	0	13	0.012341	Saline
23	1	13	0.025808	LSD_0.1
16	0	13	0.019475	Saline
18	2	13	0.012028	LSD_0.3
24	2	13	0.022833	LSD_0.3
19	0	13	0.014449	Saline
17	1	13	0.034326	LSD_0.1
13	0	13	0.007728	Saline
3	2	13	0.020282	LSD_0.3
20	1	13	0.028707	LSD_0.1
21	2	13	0.005083	LSD_0.3
2	1	13	0.018403	LSD_0.1
10	0	13	0.011149	Saline
4	0	13	0.035815	Saline
8	1	13	0.013963	LSD_0.1
9	2	13	0.023453	LSD_0.3
15	2	13	0.015523	LSD_0.3
1	0	13	0.013194	Saline
14	1	13	0.011675	LSD_0.1
7	0	13	0.031548	Saline
12	2	13	0.030836	LSD_0.3
11	1	13	0.024722	LSD_0.1
5	1	13	0.012423	LSD_0.1
6	2	13	0.009060	LSD_0.3
22	0	14	0.015233	Saline
23	1	14	0.032634	LSD_0.1
16	0	14	0.014247	Saline
18	2	14	0.016402	LSD_0.3
24	2	14	0.026000	LSD_0.3
19	0	14	0.014259	Saline
17	1	14	0.021049	LSD_0.1
13	0	14	0.014236	Saline
3	2	14	0.024671	LSD_0.3
20	1	14	0.028707	LSD_0.1
21	2	14	0.005591	LSD_0.3
2	1	14	0.017390	LSD_0.1
10	0	14	0.016966	Saline
4	0	14	0.028979	Saline
8	1	14	0.013455	LSD_0.1
9	2	14	0.024555	LSD_0.3
15	2	14	0.011517	LSD_0.3
1	0	14	0.007539	Saline
14	1	14	0.009405	LSD_0.1
7	0	14	0.032282	Saline
12	2	14	0.023733	LSD_0.3
11	1	14	0.020244	LSD_0.1
5	1	14	0.024540	LSD_0.1
6	2	14	0.010354	LSD_0.3
22	0	15	0.027960	Saline
23	1	15	0.011489	LSD_0.1
16	0	15	0.013593	Saline
18	2	15	0.028613	LSD_0.3
24	2	15	0.009000	LSD_0.3
19	0	15	0.028897	Saline
17	1	15	0.004534	LSD_0.1
13	0	15	0.044336	Saline
3	2	15	0.018465	LSD_0.3
20	1	15	0.012487	LSD_0.1
21	2	15	0.034562	LSD_0.3
2	1	15	0.020260	LSD_0.1
10	0	15	0.003716	Saline
4	0	15	0.014712	Saline
