subject	group	syllable	usage	treat
23	2	6	0.020337	Ariadne_10
20	1	6	0.058766	Ariadne_3
5	1	6	0.042729	Ariadne_3
21	2	6	0.022330	Ariadne_10
13	0	6	0.011227	Saline
1	0	7	0.042857	Saline
6	2	7	0.030057	Ariadne_10
3	2	7	0.032546	Ariadne_10
14	1	7	0.024219	Ariadne_3
16	0	7	0.030955	Saline
19	0	7	0.012783	Saline
9	2	7	0.011852	Ariadne_10
8	1	7	0.021028	Ariadne_3
7	0	7	0.030629	Saline
10	0	7	0.042438	Saline
17	1	7	0.016840	Ariadne_3
22	1	7	0.024032	Ariadne_3
15	2	7	0.015460	Ariadne_10
4	0	7	0.028113	Saline
12	2	7	0.032306	Ariadne_10
11	1	7	0.029504	Ariadne_3
2	1	7	0.033955	Ariadne_3
18	2	7	0.007836	Ariadne_10
23	2	7	0.025580	Ariadne_10
20	1	7	0.012627	Ariadne_3
5	1	7	0.024466	Ariadne_3
21	2	7	0.010863	Ariadne_10
13	0	7	0.033280	Saline
1	0	8	0.025746	Saline
6	2	8	0.027910	Ariadne_10
3	2	8	0.021367	Ariadne_10
14	1	8	0.031094	Ariadne_3
16	0	8	0.023123	Saline
19	0	8	0.016401	Saline
9	2	8	0.019641	Ariadne_10
8	1	8	0.019938	Ariadne_3
7	0	8	0.015762	Saline
10	0	8	0.012574	Saline
17	1	8	0.026912	Ariadne_3
22	1	8	0.029719	Ariadne_3
15	2	8	0.034314	Ariadne_10
4	0	8	0.021125	Saline
12	2	8	0.025479	Ariadne_10
11	1	8	0.031510	Ariadne_3
2	1	8	0.024067	Ariadne_3
18	2	8	0.021124	Ariadne_10
23	2	8	0.019860	Ariadne_10
20	1	8	0.037154	Ariadne_3
5	1	8	0.022398	Ariadne_3
21	2	8	0.024341	Ariadne_10
13	0	8	0.029939	Saline
1	0	9	0.014757	Saline
6	2	9	0.052599	Ariadne_10
3	2	9	0.000425	Ariadne_10
14	1	9	0.040156	Ariadne_3
16	0	9	0.013053	Saline
19	0	9	0.020019	Saline
9	2	9	0.030816	Ariadne_10
8	1	9	0.003427	Ariadne_3
7	0	9	0.010747	Saline
10	0	9	0.011352	Saline
17	1	9	0.047529	Ariadne_3
22	1	9	0.046414	Ariadne_3
15	2	9	0.005090	Ariadne_10
4	0	9	0.012548	Saline
12	2	9	0.006495	Ariadne_10
11	1	9	0.000859	Ariadne_3
2	1	9	0.047948	Ariadne_3
18	2	9	0.001704	Ariadne_10
23	2	9	0.013823	Ariadne_10
20	1	9	0.053667	Ariadne_3
5	1	9	0.042729	Ariadne_3
21	2	9	0.050493	Ariadne_10
13	0	9	0.018712	Saline
1	0	10	0.031868	Saline
6	2	10	0.024536	Ariadne_10
3	2	10	0.030140	Ariadne_10
14	1	10	0.022344	Ariadne_3
16	0	10	0.052213	Saline
19	0	10	0.024120	Saline
9	2	10	0.021334	Ariadne_10
8	1	10	0.022586	Ariadne_3
7	0	10	0.027584	Saline
10	0	10	0.013971	Saline
17	1	10	0.027699	Ariadne_3
22	1	10	0.024216	Ariadne_3
15	2	10	0.010747	Ariadne_10
4	0	10	0.024301	Saline
12	2	10	0.010325	Ariadne_10
11	1	10	0.008880	Ariadne_3
2	1	10	0.006903	Ariadne_3
18	2	10	0.006474	Ariadne_10
23	2	10	0.032412	Ariadne_10
20	1	10	0.006799	Ariadne_3
5	1	10	0.019125	Ariadne_3
21	2	10	0.017904	Ariadne_10
13	0	10	0.012697	Saline
1	0	11	0.012088	Saline
6	2	11	0.036037	Ariadne_10
3	2	11	0.003255	Ariadne_10
14	1	11	0.025156	Ariadne_3
16	0	11	0.021880	Saline
19	0	11	0.000000	Saline
9	2	11	0.039282	Ariadne_10
8	1	11	0.007477	Ariadne_3
7	0	11	0.000537	Saline
10	0	11	0.002445	Saline
17	1	11	0.026912	Ariadne_3
22	1	11	0.016144	Ariadne_3
15	2	11	0.086916	Ariadne_10
4	0	11	0.001112	Saline
12	2	11	0.000167	Ariadne_10
11	1	11	0.001719	Ariadne_3
2	1	11	0.041045	Ariadne_3
18	2	11	0.001363	Ariadne_10
23	2	11	0.007944	Ariadne_10
20	1	11	0.003885	Ariadne_3
5	1	11	0.016885	Ariadne_3
21	2	11	0.017300	Ariadne_10
13	0	11	0.046645	Saline
1	0	12	0.016797	Saline
6	2	12	0.009661	Ariadne_10
3	2	12	0.060705	Ariadne_10
14	1	12	0.009219	Ariadne_3
16	0	12	0.015415	Saline
19	0	12	0.034732	Saline
9	2	12	0.001185	Ariadne_10
8	1	12	0.019315	Ariadne_3
7	0	12	0.020956	Saline
10	0	12	0.012574	Saline
17	1	12	0.005666	Ariadne_3
22	1	12	0.008989	Ariadne_3
15	2	12	0.007164	Ariadne_10
4	0	12	0.068933	Saline
12	2	12	0.028476	Ariadne_10
11	1	12	0.014036	Ariadne_3
2	1	12	0.002799	Ariadne_3
18	2	12	0.010903	Ariadne_10
23	2	12	0.024627	Ariadne_10
20	1	12	0.018213	Ariadne_3
5	1	12	0.010510	Ariadne_3
21	2	12	0.009254	Ariadne_10
13	0	12	0.008955	Saline
1	0	13	0.015228	Saline
6	2	13	0.019629	Ariadne_10
3	2	13	0.014858	Ariadne_10
14	1	13	0.015781	Ariadne_3
16	0	13	0.014421	Saline
19	0	13	0.030632	Saline
9	2	13	0.013207	Ariadne_10
8	1	13	0.024455	Ariadne_3
7	0	13	0.050152	Saline
10	0	13	0.015019	Saline
17	1	13	0.017469	Ariadne_3
22	1	13	0.010824	Ariadne_3
15	2	13	0.004525	Ariadne_10
4	0	13	0.034784	Saline
12	2	13	0.025479	Ariadne_10
11	1	13	0.030364	Ariadne_3
2	1	13	0.006157	Ariadne_3
18	2	13	0.014651	Ariadne_10
23	2	13	0.014458	Ariadne_10
20	1	13	0.022098	Ariadne_3
5	1	13	0.021020	Ariadne_3
21	2	13	0.010863	Ariadne_10
13	0	13	0.008554	Saline
1	0	14	0.028257	Saline
6	2	14	0.027603	Ariadne_10
3	2	14	0.008632	Ariadne_10
14	1	14	0.016563	Ariadne_3
16	0	14	0.019145	Saline
19	0	14	0.010130	Saline
9	2	14	0.025906	Ariadne_10
8	1	14	0.015109	Ariadne_3
7	0	14	0.012001	Saline
10	0	14	0.027244	Saline
17	1	14	0.026440	Ariadne_3
22	1	14	0.026050	Ariadne_3
15	2	14	0.022624	Ariadne_10
4	0	14	0.007147	Saline
12	2	14	0.012157	Ariadne_10
