subject	group	syllable	usage	treat
22	1	6	0.028451	2BrLSD_0.3
8	1	6	0.027070	2BrLSD_0.3
6	2	6	0.027552	2BrLSD_1
23	2	6	0.021584	2BrLSD_1
11	1	6	0.017857	2BrLSD_0.3
9	2	6	0.018106	2BrLSD_1
3	2	6	0.018803	2BrLSD_1
15	0	6	0.029493	Saline
7	0	6	0.036694	Saline
20	2	6	0.013635	2BrLSD_1
14	2	6	0.011809	2BrLSD_1
16	1	6	0.028795	2BrLSD_0.3
21	0	6	0.057045	Saline
10	0	6	0.036732	Saline
1	0	7	0.021684	Saline
19	1	7	0.007262	2BrLSD_0.3
2	1	7	0.001571	2BrLSD_0.3
13	1	7	0.019535	2BrLSD_0.3
18	0	7	0.046385	Saline
17	2	7	0.002350	2BrLSD_1
5	1	7	0.020572	2BrLSD_0.3
12	0	7	0.052605	Saline
4	0	7	0.023324	Saline
22	1	7	0.033590	2BrLSD_0.3
8	1	7	0.022975	2BrLSD_0.3
6	2	7	0.012471	2BrLSD_1
23	2	7	0.005701	2BrLSD_1
11	1	7	0.010417	2BrLSD_0.3
9	2	7	0.016114	2BrLSD_1
3	2	7	0.009593	2BrLSD_1
15	0	7	0.040735	Saline
7	0	7	0.057697	Saline
20	2	7	0.003658	2BrLSD_1
14	2	7	0.004881	2BrLSD_1
16	1	7	0.023455	2BrLSD_0.3
21	0	7	0.039374	Saline
10	0	7	0.034299	Saline
1	0	8	0.013454	Saline
19	1	8	0.052969	2BrLSD_0.3
2	1	8	0.016934	2BrLSD_0.3
13	1	8	0.031668	2BrLSD_0.3
18	0	8	0.027379	Saline
17	2	8	0.009009	2BrLSD_1
5	1	8	0.029128	2BrLSD_0.3
12	0	8	0.008493	Saline
4	0	8	0.013744	Saline
22	1	8	0.030286	2BrLSD_0.3
8	1	8	0.033894	2BrLSD_0.3
6	2	8	0.027552	2BrLSD_1
23	2	8	0.033191	2BrLSD_1
11	1	8	0.033854	2BrLSD_0.3
9	2	8	0.022452	2BrLSD_1
3	2	8	0.039140	2BrLSD_1
15	0	8	0.028700	Saline
7	0	8	0.014455	Saline
20	2	8	0.020619	2BrLSD_1
14	2	8	0.029602	2BrLSD_1
16	1	8	0.028604	2BrLSD_0.3
21	0	8	0.027128	Saline
10	0	8	0.015180	Saline
1	0	9	0.009497	Saline
19	1	9	0.026912	2BrLSD_0.3
2	1	9	0.023219	2BrLSD_0.3
13	1	9	0.023031	2BrLSD_0.3
18	0	9	0.012626	Saline
17	2	9	0.020368	2BrLSD_1
5	1	9	0.020025	2BrLSD_0.3
12	0	9	0.029155	Saline
4	0	9	0.034430	Saline
22	1	9	0.025698	2BrLSD_0.3
8	1	9	0.033894	2BrLSD_0.3
6	2	9	0.019722	2BrLSD_1
23	2	9	0.040114	2BrLSD_1
11	1	9	0.040923	2BrLSD_0.3
9	2	9	0.017925	2BrLSD_1
3	2	9	0.014198	2BrLSD_1
15	0	9	0.018781	Saline
7	0	9	0.020756	Saline
20	2	9	0.041902	2BrLSD_1
14	2	9	0.030546	2BrLSD_1
16	1	9	0.032609	2BrLSD_0.3
21	0	9	0.018602	Saline
10	0	9	0.013210	Saline
1	0	10	0.042260	Saline
19	1	10	0.014951	2BrLSD_0.3
2	1	10	0.009078	2BrLSD_0.3
13	1	10	0.012955	2BrLSD_0.3
18	0	10	0.024189	Saline
17	2	10	0.001567	2BrLSD_1
5	1	10	0.016384	2BrLSD_0.3
12	0	10	0.055647	Saline
4	0	10	0.016243	Saline
22	1	10	0.016336	2BrLSD_0.3
8	1	10	0.008872	2BrLSD_0.3
6	2	10	0.017981	2BrLSD_1
23	2	10	0.014865	2BrLSD_1
11	1	10	0.009301	2BrLSD_0.3
9	2	10	0.020098	2BrLSD_1
3	2	10	0.007675	2BrLSD_1
15	0	10	0.038884	Saline
7	0	10	0.039535	Saline
20	2	10	0.006984	2BrLSD_1
14	2	10	0.006613	2BrLSD_1
16	1	10	0.022502	2BrLSD_0.3
21	0	10	0.036118	Saline
10	0	10	0.033720	Saline
1	0	11	0.022475	Saline
19	1	11	0.015378	2BrLSD_0.3
2	1	11	0.010475	2BrLSD_0.3
13	1	11	0.021386	2BrLSD_0.3
18	0	11	0.041999	Saline
17	2	11	0.005092	2BrLSD_1
5	1	11	0.029128	2BrLSD_0.3
12	0	11	0.024464	Saline
4	0	11	0.021380	Saline
22	1	11	0.024046	2BrLSD_0.3
8	1	11	0.020246	2BrLSD_0.3
6	2	11	0.028422	2BrLSD_1
23	2	11	0.009163	2BrLSD_1
11	1	11	0.013207	2BrLSD_0.3
9	2	11	0.014304	2BrLSD_1
3	2	11	0.012279	2BrLSD_1
15	0	11	0.026187	Saline
7	0	11	0.020262	Saline
20	2	11	0.011307	2BrLSD_1
14	2	11	0.004724	2BrLSD_1
16	1	11	0.015256	2BrLSD_0.3
21	0	11	0.029453	Saline
10	0	11	0.036153	Saline
1	0	12	0.015036	Saline
19	1	12	0.013242	2BrLSD_0.3
2	1	12	0.004714	2BrLSD_0.3
13	1	12	0.010282	2BrLSD_0.3
18	0	12	0.023525	Saline
17	2	12	0.008617	2BrLSD_1
5	1	12	0.011651	2BrLSD_0.3
12	0	12	0.050450	Saline
4	0	12	0.019159	Saline
22	1	12	0.017254	2BrLSD_0.3
8	1	12	0.019791	2BrLSD_0.3
6	2	12	0.015661	2BrLSD_1
