subject	group	syllable	usage	treat
13	0	6	0.036332	Saline
4	0	6	0.060935	Saline
17	1	6	0.006949	Psilo_0.3
22	0	6	0.049318	Saline
2	1	6	0.038189	Psilo_0.3
10	0	6	0.056153	Saline
23	1	6	0.026098	Psilo_0.3
12	2	6	0.012998	Psilo_1
3	2	6	0.011685	Psilo_1
5	1	6	0.015891	Psilo_0.3
8	1	6	0.042196	Psilo_0.3
24	2	7	0.026008	Psilo_1
21	2	7	0.022059	Psilo_1
7	0	7	0.024853	Saline
1	0	7	0.022311	Saline
9	2	7	0.014699	Psilo_1
11	1	7	0.026037	Psilo_0.3
19	0	7	0.016908	Saline
20	1	7	0.025170	Psilo_0.3
16	0	7	0.005894	Saline
15	2	7	0.054609	Psilo_1
14	1	7	0.042648	Psilo_0.3
6	2	7	0.031725	Psilo_1
18	2	7	0.027986	Psilo_1
13	0	7	0.035808	Saline
4	0	7	0.020965	Saline
17	1	7	0.038369	Psilo_0.3
22	0	7	0.023344	Saline
2	1	7	0.053048	Psilo_0.3
10	0	7	0.015976	Saline
23	1	7	0.041286	Psilo_0.3
12	2	7	0.052214	Psilo_1
3	2	7	0.031230	Psilo_1
5	1	7	0.043867	Psilo_0.3
8	1	7	0.014252	Psilo_0.3
24	2	8	0.027070	Psilo_1
21	2	8	0.019914	Psilo_1
7	0	8	0.026577	Saline
1	0	8	0.044890	Saline
9	2	8	0.035814	Psilo_1
11	1	8	0.017290	Psilo_0.3
19	0	8	0.005636	Saline
20	1	8	0.015906	Psilo_0.3
16	0	8	0.027826	Saline
15	2	8	0.031336	Psilo_1
14	1	8	0.011310	Psilo_0.3
6	2	8	0.019744	Psilo_1
18	2	8	0.011560	Psilo_1
13	0	8	0.027424	Saline
4	0	8	0.013575	Saline
17	1	8	0.014804	Psilo_0.3
22	0	8	0.035344	Saline
2	1	8	0.041939	Psilo_0.3
10	0	8	0.030054	Saline
23	1	8	0.038632	Psilo_0.3
12	2	8	0.009914	Psilo_1
3	2	8	0.008710	Psilo_1
5	1	8	0.035259	Psilo_0.3
8	1	8	0.035210	Psilo_0.3
24	2	9	0.029724	Psilo_1
21	2	9	0.007966	Psilo_1
7	0	9	0.030312	Saline
1	0	9	0.020307	Saline
9	2	9	0.027531	Psilo_1
11	1	9	0.008340	Psilo_0.3
19	0	9	0.003431	Saline
20	1	9	0.020101	Psilo_0.3
16	0	9	0.023671	Saline
15	2	9	0.015943	Psilo_1
14	1	9	0.018615	Psilo_0.3
6	2	9	0.011981	Psilo_1
18	2	9	0.009329	Psilo_1
13	0	9	0.028821	Saline
4	0	9	0.035294	Saline
17	1	9	0.009366	Psilo_0.3
22	0	9	0.025645	Saline
2	1	9	0.022219	Psilo_0.3
10	0	9	0.027523	Saline
23	1	9	0.026541	Psilo_0.3
12	2	9	0.007711	Psilo_1
3	2	9	0.011472	Psilo_1
5	1	9	0.012415	Psilo_0.3
