year,#Morfigo,#Konforme,#Skibidi,#Poputah,#Elgibidi,#Noffinoffs
0,3,0,2,2,0,3
1,7,0,5,7,0,8
2,14,0,7,11,0,13
3,4,0,1,3,0,3
4,1,0,0,1,0,1
5,1,0,0,1,0,1
6,1,0,0,1,0,1
