year,#Morfigo,#Konforme,#Skibidi,#Poputah,#Elgibidi,#Noffinoffs
0,3,3,0,2,1,1
1,7,5,0,7,1,1
2,10,10,0,9,1,1
3,19,20,0,14,1,1
4,2,1,0,0,0,0
5,2,1,0,0,0,0
6,5,1,0,0,0,0
7,10,1,0,0,0,0
8,7,1,0,0,0,0
9,1,1,0,0,0,0
