year,#Morfigo,#Konforme,#Skibidi,#Poputah,#Elgibidi,#Noffinoffs
0,2,2,0,2,0,4
1,4,3,0,7,0,6
2,6,8,0,9,0,11
3,10,10,0,10,0,17
4,1,1,0,0,0,0
5,1,1,0,0,0,0
6,1,1,0,0,0,0
7,1,1,0,0,0,0
8,1,1,0,0,0,0
