D1_KND_100,D1_KND_50,D1_KND_Veh,D1_UNK_Veh,D2_KND_100,D2_KND_50,D2_KND_Veh,D2_UNK_Veh,D3_KND_100,D3_KND_50,D3_KND_Veh,D3_UNK_Veh
0.037245,0.023167,0.024724,0.009667,0.021530,0.016990,0.023988,0.009196,0.029104,0.017013,0.038832,0.011719
0.033457,0.023364,0.028972,0.021372,0.046933,0.040182,0.034602,0.015883,0.037037,0.022883,0.025226,0.008153
0.012541,0.008505,0.025345,0.026111,0.034733,0.014498,0.016382,0.010276,0.055864,0.044605,0.021964,0.029450
0.010753,0.013899,0.052906,0.028777,0.016444,0.033462,0.028827,0.024667,0.017786,0.009874,0.052553,0.017661
0.022707,0.027214,0.011317,0.021228,0.006122,0.008713,0.049120,0.027975,0.028716,0.013041,0.046465,0.018154
0.033946,0.016008,0.017961,0.018732,0.024865,0.018519,0.034379,0.036578,0.021247,0.014455,0.020658,0.020450
0.035954,0.031512,0.040307,0.018837,0.008293,0.007917,0.042687,0.023596,0.016156,0.027215,0.033194,0.015168
0.019414,0.027607,0.038625,0.007656,0.039306,0.026212,0.051990,0.033838,0.007895,0.027141,0.026290,0.015830
0.047975,0.011055,0.028555,0.031320,0.012300,0.019959,0.045580,0.009368,0.009796,0.018100,0.051781,0.024571
0.006343,0.026691,0.032483,0.010410,0.019993,0.009940,0.027304,0.011905,0.039234,0.010970,0.019573,0.022872
0.026187,0.013188,0.034195,0.013861,0.026306,0.011188,0.024148,0.026433,0.008043,0.006213,0.053917,0.015199
0.037135,0.023556,0.015096,0.008428,0.026667,0.028024,0.029915,0.015152,,0.026641,,0.018820
0.029754,0.018149,0.020034,0.024172,,,,,,,,
0.014282,0.018462,0.010116,0.010809,,,,,,,,
0.019846,0.026631,0.036557,0.010692,,,,,,,,
