D1_KND_100,D1_KND_50,D1_KND_Veh,D1_UNK_Veh,D2_KND_100,D2_KND_50,D2_KND_Veh,D2_UNK_Veh,D3_KND_100,D3_KND_50,D3_KND_Veh,D3_UNK_Veh
0.013616,0.034232,0.009509,0.018976,0.025707,0.015777,0.033358,0.025204,0.033060,0.041903,0.021693,0.048377
0.008261,0.031542,0.050621,0.041995,0.005867,0.035254,0.007612,0.041491,0.011156,0.022502,0.012851,0.040452
0.035234,0.015237,0.014536,0.027976,0.015751,0.047030,0.034102,0.020198,0.017058,0.025489,0.026357,0.029123
0.015984,0.012772,0.013413,0.025962,0.030717,0.015015,0.008946,0.041870,0.023919,0.024174,0.019895,0.030990
0.030669,0.009686,0.024348,0.014405,0.033364,0.015751,0.010195,0.035491,0.028378,0.037736,0.007149,0.017767
0.008487,0.018519,0.002641,0.020375,0.046142,0.007835,0.023801,0.017359,0.037804,0.048280,0.005356,0.029312
0.017977,0.009174,0.005438,0.048579,0.016872,0.020287,0.007280,0.032959,0.029344,0.045056,0.008036,0.020718
0.027312,0.017382,0.008497,0.025324,0.033737,0.046327,0.016135,0.030870,0.024737,0.008444,0.034080,0.015830
0.021807,0.024005,0.012658,0.038671,0.036327,0.042287,0.005064,0.044761,0.022950,0.036846,0.027341,0.028000
0.031716,0.014991,0.016067,0.023028,0.019279,0.035241,0.013652,0.018049,0.031387,0.035310,0.041776,0.034871
0.026841,0.043521,0.004771,0.012673,0.021556,0.024679,0.007762,0.030209,0.034853,0.038166,0.023470,0.017962
0.010231,0.019038,0.014171,0.015390,0.024074,0.011677,0.009402,0.022498,,0.016602,,0.027868
0.016758,0.011978,0.024448,0.030132,,,,,,,,
0.033884,0.027692,0.009032,0.021309,,,,,,,,
0.014700,0.022304,0.007075,0.013699,,,,,,,,
