D1_KND_100,D1_KND_50,D1_KND_Veh,D1_UNK_Veh,D2_KND_100,D2_KND_50,D2_KND_Veh,D2_UNK_Veh,D3_KND_100,D3_KND_50,D3_KND_Veh,D3_UNK_Veh
0.028835,0.029737,0.029669,0.017544,0.012853,0.023463,0.010495,0.020436,0.018084,0.022054,0.029459,0.022236
0.029327,0.026869,0.017192,0.019873,0.006933,0.032221,0.039446,0.023015,0.024543,0.033944,0.026654,0.018501
0.028068,0.024096,0.051435,0.021759,0.024233,0.024752,0.034102,0.024805,0.019616,0.057774,0.027612,0.013089
0.017727,0.024418,0.029806,0.020957,0.017375,0.028743,0.037276,0.013307,0.013493,0.025196,0.031532,0.016661
0.039811,0.034594,0.014403,0.010993,0.020814,0.020777,0.029657,0.025052,0.032095,0.023862,0.030183,0.020471
0.026521,0.038606,0.020602,0.011173,0.025378,0.028490,0.020023,0.034098,0.007450,0.009829,0.025249,0.004772
0.027727,0.027523,0.026232,0.016193,0.018873,0.015339,0.024818,0.029963,0.013188,0.019353,0.020964,0.018128
0.032247,0.021132,0.037466,0.017962,0.015395,0.016458,0.036214,0.024636,0.021053,0.030760,0.032457,0.023552
0.019938,0.033481,0.020606,0.019495,0.010297,0.021989,0.020718,0.017696,0.017632,0.028765,0.017813,0.025714
0.032667,0.019013,0.014321,0.027445,0.020707,0.018976,0.024573,0.034562,0.016635,0.014056,0.028922,0.032246
0.018331,0.018134,0.041750,0.026931,0.021556,0.036196,0.015093,0.015448,0.014596,0.023964,0.038059,0.029361
0.021599,0.024847,0.024954,0.023085,0.024074,0.032695,0.021368,0.015152,,0.042471,,0.009048
0.028728,0.031216,0.011885,0.020530,,,,,,,,
0.033884,0.033538,0.024928,0.026560,,,,,,,,
0.022051,0.032290,0.040881,0.019044,,,,,,,,
