subjectID,D1_KND_100,D1_KND_50,D1_KND_Veh,D1_UNK_Veh,D2_KND_100,D2_KND_50,D2_KND_Veh,D2_UNK_Veh,D3_KND_100,D3_KND_50,D3_KND_Veh,D3_UNK_Veh
1,0.039205,,,,0.035469,,,,0.031316,,,
2,0.020841,,,,0.038729,,,,0.032770,,,
3,0.036594,,,,0.061010,,,,0.054818,,,
4,0.035826,,,,0.026992,,,,0.026993,,,
5,,0.054614,,,,0.041949,,,,0.043956,,
6,,0.043609,,,,0.041451,,,,0.046944,,
7,,0.043876,,,,0.045868,,,,0.054128,,
8,,0.048403,,,,0.036525,,,,0.047041,,
9,,,0.017890,,,,0.011966,,,,0.012242,
10,,,0.027810,,,,0.029760,,,,0.038693,
11,,,0.028231,,,,0.031488,,,,0.042046,
12,,,0.018874,,,,0.016876,,,,0.018169,
13,,,,0.068212,,,,0.050936,,,,0.042370
14,,,,0.062789,,,,0.073906,,,,0.065505
15,,,,0.058129,,,,0.048679,,,,0.054974
16,,,,0.030075,,,,0.025253,,,,0.029741
17,0.031353,,,,0.035200,,,,0.044683,,,
18,0.035209,,,,0.022963,,,,0.014279,,,
19,0.040589,,,,0.053366,,,,0.055740,,,
20,0.025899,,,,0.026062,,,,0.037718,,,
21,,0.027935,,,,0.018018,,,,0.027079,,
22,,0.040430,,,,0.038874,,,,0.036772,,
23,,0.037231,,,,0.047590,,,,0.056375,,
24,,0.021779,,,,0.019013,,,,0.029344,,
25,,,0.013006,,,,0.015093,,,,0.028240,
26,,,0.018082,,,,0.010195,,,,0.018268,
27,,,0.036969,,,,0.030375,,,,,
28,,,0.012658,,,,0.005985,,,,0.012763,
29,,,,0.047319,,,,0.032258,,,,0.030502
30,,,,0.043495,,,,0.039922,,,,0.037278
31,,,,0.049537,,,,0.042568,,,,0.026926
32,,,,0.063497,,,,0.033719,,,,0.037321
33,0.022087,,,,0.022877,,,,0.021271,,,
34,0.022427,,,,0.041598,,,,0.036927,,,
35,0.024370,,,,0.014540,,,,0.021748,,,
36,0.014498,,,,0.005867,,,,,,,
37,,0.015683,,,,0.016382,,,,0.012063,,
38,,0.044840,,,,0.039604,,,,0.045595,,
39,,0.018349,,,,0.015880,,,,0.023789,,
40,,0.022679,,,,0.024245,,,,0.064373,,
41,0.021567,,,,,,,,,,,
42,0.036384,,,,,,,,,,,
43,0.063698,,,,,,,,,,,
44,,0.019768,,,,,,,,,,
45,,0.019534,,,,,,,,,,
46,,0.026971,,,,,,,,,,
47,,,0.036613,,,,0.033358,,,,0.024018,
48,,,,0.053592,,,,0.042679,,,,0.055190
49,,,0.032236,,,,0.040120,,,,0.048203,
50,,,0.020921,,,,0.009940,,,,0.016659,
51,,,0.024218,,,,0.026445,,,,0.019056,
52,,,0.016416,,,,,,,,,
53,,,,0.040457,,,,0.021262,,,,0.031779
54,,,,0.031147,,,,0.022319,,,,0.030857
55,,,,0.043378,,,,0.030480,,,,0.028117
56,,,,0.036084,,,,,,,,
57,,,0.017657,,,,,,,,,
58,,,0.001585,,,,,,,,,
59,,,,0.035644,,,,,,,,
60,,,,0.019712,,,,,,,,
