subjectID,D1_KND_100,D1_KND_50,D1_KND_Veh,D1_UNK_Veh,D2_KND_100,D2_KND_50,D2_KND_Veh,D2_UNK_Veh,D3_KND_100,D3_KND_50,D3_KND_Veh,D3_UNK_Veh
1,0.061607,,,,0.026888,,,,0.028421,,,
2,0.017431,,,,0.028133,,,,0.027703,,,
3,0.023256,,,,0.022046,,,,0.024866,,,
4,0.030218,,,,0.017995,,,,0.015694,,,
5,,0.032710,,,,0.015223,,,,0.010666,,
6,,0.045606,,,,0.042060,,,,0.027410,,
7,,0.021207,,,,0.019333,,,,0.014212,,
8,,0.034850,,,,0.033235,,,,0.019527,,
9,,,0.055908,,,,0.021368,,,,0.016067,
10,,,0.036694,,,,0.024381,,,,0.034570,
11,,,0.039364,,,,0.036678,,,,0.034547,
12,,,0.026552,,,,0.021178,,,,0.023061,
13,,,,0.064238,,,,0.037828,,,,0.034871
14,,,,0.036021,,,,0.019125,,,,0.010517
15,,,,0.025179,,,,0.022855,,,,0.014398
16,,,,0.040816,,,,0.016988,,,,0.027037
17,0.046880,,,,0.017141,,,,0.010426,,,
18,0.037841,,,,0.017037,,,,0.006247,,,
19,0.035025,,,,0.023891,,,,0.007726,,,
20,0.030165,,,,0.023920,,,,0.015333,,,
21,,0.032329,,,,0.011154,,,,0.015637,,
22,,0.040114,,,,0.023123,,,,0.013960,,
23,,0.046769,,,,0.030120,,,,0.017057,,
24,,0.034846,,,,0.025485,,,,0.028958,,
25,,,0.042269,,,,0.020699,,,,0.041732,
26,,,0.033412,,,,0.010195,,,,0.015886,
27,,,0.037893,,,,0.035154,,,,,
28,,,0.021195,,,,0.012891,,,,0.021396,
29,,,,0.036593,,,,0.019585,,,,0.012355
30,,,,0.035246,,,,0.023694,,,,0.015925
31,,,,0.025248,,,,0.012015,,,,0.006817
32,,,,0.045355,,,,0.028951,,,,0.017661
33,0.031096,,,,0.019159,,,,0.026868,,,
34,0.021225,,,,0.016050,,,,0.010880,,,
35,0.042957,,,,0.021809,,,,0.022175,,,
36,0.021570,,,,0.007467,,,,,,,
37,,0.019373,,,,0.014245,,,,0.011460,,
38,,0.033630,,,,0.021216,,,,0.018512,,
39,,0.024731,,,,0.009341,,,,0.038658,,
40,,0.039688,,,,0.018308,,,,0.029967,,
41,0.047574,,,,,,,,,,,
42,0.029401,,,,,,,,,,,
43,0.042170,,,,,,,,,,,
44,,0.035106,,,,,,,,,,
45,,0.013524,,,,,,,,,,
46,,0.035961,,,,,,,,,,
47,,,0.011780,,,,0.018741,,,,0.022071,
48,,,,0.042697,,,,0.030534,,,,0.015052
49,,,0.025720,,,,0.021063,,,,0.020158,
50,,,0.019399,,,,0.016899,,,,0.012375,
51,,,0.031669,,,,0.034379,,,,0.028169,
52,,,0.024450,,,,,,,,,
53,,,,0.023780,,,,0.012403,,,,0.015199
54,,,,0.042140,,,,0.022939,,,,0.008000
55,,,,0.016103,,,,0.020459,,,,0.019608
56,,,,0.047444,,,,,,,,
57,,,0.017317,,,,,,,,,
58,,,0.007924,,,,,,,,,
59,,,,0.028119,,,,,,,,
60,,,,0.019333,,,,,,,,
