subjectID,D1_KND_100,D1_KND_50,D1_KND_Veh,D1_UNK_Veh,D2_KND_100,D2_KND_50,D2_KND_Veh,D2_UNK_Veh,D3_KND_100,D3_KND_50,D3_KND_Veh,D3_UNK_Veh
1,0.014282,,,,0.012300,,,,0.007895,,,
2,0.037135,,,,0.026306,,,,0.028716,,,
3,0.029754,,,,0.024865,,,,0.029104,,,
4,0.047975,,,,0.021530,,,,0.039234,,,
5,,0.023364,,,,0.019959,,,,0.018100,,
6,,0.026631,,,,0.026212,,,,0.017013,,
7,,0.026691,,,,0.040182,,,,0.027215,,
8,,0.023556,,,,0.011188,,,,0.006213,,
9,,,0.025345,,,,0.029915,,,,0.020658,
10,,,0.038625,,,,0.051990,,,,0.053917,
11,,,0.034195,,,,0.034602,,,,0.038832,
12,,,0.040307,,,,0.042687,,,,0.033194,
13,,,,0.024172,,,,0.023596,,,,0.022872
14,,,,0.018837,,,,0.015883,,,,0.011719
15,,,,0.026111,,,,0.033838,,,,0.029450
16,,,,0.009667,,,,0.015152,,,,0.018154
17,0.012541,,,,0.006122,,,,0.008043,,,
18,0.019414,,,,0.026667,,,,0.037037,,,
19,0.026187,,,,0.016444,,,,0.021247,,,
20,0.035954,,,,0.019993,,,,0.017786,,,
21,,0.016008,,,,0.033462,,,,0.022883,,
22,,0.011055,,,,0.008713,,,,0.009874,,
23,,0.018462,,,,0.009940,,,,0.014455,,
24,,0.018149,,,,0.016990,,,,0.026641,,
25,,,0.010116,,,,0.024148,,,,0.021964,
26,,,0.036557,,,,0.049120,,,,0.046465,
27,,,0.015096,,,,0.027304,,,,,
28,,,0.028555,,,,0.045580,,,,0.052553,
29,,,,0.010410,,,,0.011905,,,,0.015830
30,,,,0.021372,,,,0.024667,,,,0.018820
31,,,,0.031320,,,,0.026433,,,,0.020450
32,,,,0.028777,,,,0.009196,,,,0.017661
33,0.010753,,,,0.008293,,,,0.009796,,,
34,0.037245,,,,0.039306,,,,0.016156,,,
35,0.033457,,,,0.034733,,,,0.055864,,,
36,0.033946,,,,0.046933,,,,,,,
37,,0.027214,,,,0.018519,,,,0.027141,,
38,,0.013188,,,,0.014498,,,,0.010970,,
39,,0.031512,,,,0.028024,,,,0.044605,,
40,,0.008505,,,,0.007917,,,,0.013041,,
41,0.006343,,,,,,,,,,,
42,0.019846,,,,,,,,,,,
43,0.022707,,,,,,,,,,,
44,,0.027607,,,,,,,,,,
45,,0.013899,,,,,,,,,,
46,,0.023167,,,,,,,,,,
47,,,0.028972,,,,0.023988,,,,0.026290,
48,,,,0.007656,,,,0.009368,,,,0.008153
49,,,0.011317,,,,0.016382,,,,0.019573,
50,,,0.024724,,,,0.028827,,,,0.025226,
51,,,0.052906,,,,0.034379,,,,0.051781,
52,,,0.032483,,,,,,,,,
53,,,,0.010809,,,,0.010276,,,,0.015199
54,,,,0.008428,,,,0.036578,,,,0.024571
55,,,,0.018732,,,,0.027975,,,,0.015168
56,,,,0.010692,,,,,,,,
57,,,0.020034,,,,,,,,,
58,,,0.017961,,,,,,,,,
59,,,,0.013861,,,,,,,,
60,,,,0.021228,,,,,,,,
