subjectID,D1_KND_100,D1_KND_50,D1_KND_Veh,D1_UNK_Veh,D2_KND_100,D2_KND_50,D2_KND_Veh,D2_UNK_Veh,D3_KND_100,D3_KND_50,D3_KND_Veh,D3_UNK_Veh
1,0.033884,,,,0.036327,,,,0.024737,,,
2,0.010231,,,,0.021556,,,,0.028378,,,
3,0.016758,,,,0.046142,,,,0.033060,,,
4,0.021807,,,,0.025707,,,,0.031387,,,
5,,0.031542,,,,0.042287,,,,0.036846,,
6,,0.022304,,,,0.046327,,,,0.041903,,
7,,0.014991,,,,0.035254,,,,0.045056,,
8,,0.019038,,,,0.024679,,,,0.038166,,
9,,,0.014536,,,,0.009402,,,,0.005356,
10,,,0.008497,,,,0.016135,,,,0.023470,
11,,,0.004771,,,,0.007612,,,,0.021693,
12,,,0.005438,,,,0.007280,,,,0.008036,
13,,,,0.030132,,,,0.032959,,,,0.034871
14,,,,0.048579,,,,0.041491,,,,0.048377
15,,,,0.027976,,,,0.030870,,,,0.029123
16,,,,0.018976,,,,0.022498,,,,0.017767
17,0.035234,,,,0.033364,,,,0.034853,,,
18,0.027312,,,,0.024074,,,,0.011156,,,
19,0.026841,,,,0.030717,,,,0.037804,,,
20,0.017977,,,,0.019279,,,,0.023919,,,
21,,0.018519,,,,0.015015,,,,0.022502,,
22,,0.024005,,,,0.015751,,,,0.024174,,
23,,0.027692,,,,0.035241,,,,0.048280,,
24,,0.011978,,,,0.015777,,,,0.016602,,
25,,,0.009032,,,,0.007762,,,,0.026357,
26,,,0.007075,,,,0.010195,,,,0.007149,
27,,,0.014171,,,,0.013652,,,,,
28,,,0.012658,,,,0.005064,,,,0.019895,
29,,,,0.023028,,,,0.018049,,,,0.015830
30,,,,0.041995,,,,0.041870,,,,0.027868
31,,,,0.038671,,,,0.030209,,,,0.029312
32,,,,0.025962,,,,0.025204,,,,0.030990
33,0.015984,,,,0.016872,,,,0.022950,,,
34,0.013616,,,,0.033737,,,,0.029344,,,
35,0.008261,,,,0.015751,,,,0.017058,,,
36,0.008487,,,,0.005867,,,,,,,
37,,0.009686,,,,0.007835,,,,0.008444,,
38,,0.043521,,,,0.047030,,,,0.035310,,
39,,0.009174,,,,0.011677,,,,0.025489,,
40,,0.015237,,,,0.020287,,,,0.037736,,
41,0.031716,,,,,,,,,,,
42,0.014700,,,,,,,,,,,
43,0.030669,,,,,,,,,,,
44,,0.017382,,,,,,,,,,
45,,0.012772,,,,,,,,,,
46,,0.034232,,,,,,,,,,
47,,,0.050621,,,,0.033358,,,,0.034080,
48,,,,0.025324,,,,0.044761,,,,0.040452
49,,,0.024348,,,,0.034102,,,,0.041776,
50,,,0.009509,,,,0.008946,,,,0.012851,
51,,,0.013413,,,,0.023801,,,,0.027341,
52,,,0.016067,,,,,,,,,
53,,,,0.021309,,,,0.020198,,,,0.017962
54,,,,0.015390,,,,0.017359,,,,0.028000
55,,,,0.020375,,,,0.035491,,,,0.020718
56,,,,0.013699,,,,,,,,
57,,,0.024448,,,,,,,,,
58,,,0.002641,,,,,,,,,
59,,,,0.012673,,,,,,,,
60,,,,0.014405,,,,,,,,
