Date,AnimalID,StartTime,EndTime,TotalResponses,ReinforcedResponses,IRT_List
08/26/25,2,8:36:30,9:36:37,132.000,68.000,310.100;7.100;157.100;0.200;195.100;0.200;159.100;0.200;197.100;0.200;729.100;0.200;5.100;382.100;0.200;163.100;0.200;271.100;0.200;126.100;0.200;95.100;0.200;314.100;0.200;2.100;259.100;0.200;364.100;0.200;1295.100;0.200;668.100;0.200;126.100;0.200;894.100;0.200;915.100;0.200;11.100;6.100;75.100;0.200;30.100;9.100;26.100;29.100;141.100;0.200;66.100;0.200;533.100;0.200;594.100;0.200;8.100;476.100;0.200;516.100;0.200;127.100;0.200;1553.100;0.200;3.100;12.100;14.100;11.100;61.100;0.200;77.100;0.200;47.100;212.100;0.200;29.100;29.100;13.100;21.100;439.100;0.200;31.100;22.100;20.100;10.100;78.100;0.200;742.100;0.200;25.100;12.100;28.100;293.100;0.200;10.100;27.100;12.100;50.100;0.200;222.100;0.200;65.100;0.200;34.100;20.100;1299.100;0.200;405.100;0.200;243.100;0.200;16.100;31.100;840.100;0.200;1248.100;0.200;11.100;677.100;0.200;36.100;8.100;398.100;0.200;17.100;31.100;13.100;1053.100;0.200;3.100;45.100;10.100;156.100;0.200;150.100;0.200;12.100;17.100;760.100;0.200;983.100;0.200;409.100;0.200;26.100;1001.100;0.200;8.100;770.100;0.200;42.100;193.100;0.200;7.100;16.100;5.100;25.100;40.100;17.100;37.100;836.100;0.200;61.100;0.200;103.100;0.200;1179.100;0.200;17.100;9.100;45.100;569.100;0.200;26.100;7.100;307.100;0.200;766.100;0.200;1741.100;0.200;260.100;0.200;659.100;0.200;26.100;672.100;0.200;6.100;25.100;8.100;634.100;0.200;1009.100;0.200;54.100;0.200;11.100
08/26/25,3,8:36:30,9:36:37,44.000,24.000,1275.100;254.100;0.200;328.100;0.200;577.100;0.200;270.100;0.200;128.100;0.200;1.100;1076.100;0.200;1991.100;0.200;172.100;0.200;1574.100;0.200;458.100;0.200;3941.100;0.200;1907.100;0.200;913.100;0.200;17.100;0.100;4894.100;0.200;20.100;1.100;152.100;0.200;7.100;175.100;0.200;8.100;63.100;0.200;23.100;1.100;995.100;0.200;175.100;0.200;1.100;2.100;0.100;69.100;0.200;30.100;3.100;4.100;13.100;7.100;29.100;5.100;2394.100;0.200;161.100;0.200;2961.100;0.200;40.100
08/26/25,4,8:36:30,9:36:37,63.000,36.000,227.100;18.100;11.100;116.100;0.200;102.100;0.200;134.100;0.200;170.100;0.200;130.100;0.200;103.100;0.200;35.100;7.100;5.100;68.100;0.200;18.100;1229.100;0.200;20.100;3.100;6.100;2.100;57.100;0.200;14.100;1.100;47.100;621.100;0.200;3102.100;0.200;571.100;0.200;964.100;0.200;1912.100;0.200;153.100;0.200;1.100;469.100;0.200;1474.100;0.200;883.100;0.200;127.100;0.200;13.100;382.100;0.200;628.100;0.200;1518.100;0.200;28.100;44.100;10.100;12.100;1451.100;0.200;3241.100;0.200;446.100;0.200;4.100;1721.100;0.200;293.100;0.200;21.100;2587.100;0.200;226.100;0.200;759.100;0.200;9.100;136.100;0.200;71.100;0.200;49.100;848.100;0.200;6.100;11.100;31.100;2671.100;0.200;3294.100;0.200;26.100
08/26/25,5,8:36:30,9:36:37,35.000,32.000,449.100;432.100;0.200;97.100;0.200;92.100;0.200;76.100;0.200;52.100;0.200;103.100;0.200;106.100;0.200;112.100;0.200;71.100;0.200;95.100;0.200;127.100;0.200;92.100;0.200;132.100;0.200;1145.100;0.200;339.100;0.200;103.100;0.200;101.100;0.200;147.100;0.200;340.100;0.200;119.100;0.200;830.100;0.200;1047.100;0.200;1458.100;0.200;149.100;0.200;3.100;5024.100;0.200;1079.100;0.200;47.100;501.100;0.200;15.100;5032.100;0.200;6647.100;0.200;1594.100;0.200;335.100;0.200
08/26/25,6,8:36:30,9:36:37,135.000,77.000,420.100;122.100;0.200;150.100;0.200;147.100;0.200;15.100;155.100;0.200;160.100;0.200;205.100;0.200;155.100;0.200;183.100;0.200;165.100;0.200;186.100;0.200;232.100;0.200;196.100;0.200;6.100;291.100;0.200;353.100;0.200;886.100;0.200;21.100;306.100;0.200;587.100;0.200;841.100;0.200;8.100;180.100;0.200;562.100;0.200;37.100;126.100;0.200;20.100;1076.100;0.200;5.100;576.100;0.200;27.100;297.100;0.200;324.100;0.200;286.100;0.200;426.100;0.200;390.100;0.200;1503.100;0.200;12.100;119.100;0.200;8.100;11.100;24.100;116.100;0.200;27.100;149.100;0.200;323.100;0.200;26.100;28.100;360.100;0.200;24.100;457.100;0.200;706.100;0.200;9.100;77.100;0.200;40.100;28.100;572.100;0.200;41.100;19.100;1161.100;0.200;604.100;0.200;36.100;468.100;0.200;118.100;0.200;45.100;34.100;1248.100;0.200;75.100;0.200;29.100;2772.100;0.200;111.100;0.200;237.100;0.200;4.100;32.100;11.100;34.100;10.100;29.100;806.100;0.200;61.100;0.200;1741.100;0.200;41.100;30.100;136.100;0.200;74.100;0.200;9.100;95.100;0.200;63.100;0.200;42.100;485.100;0.200;878.100;0.200;41.100;277.100;0.200;97.100;0.200;1.100;7.100;78.100;0.200;261.100;0.200;271.100;0.200;71.100;0.200;87.100;0.200;31.100;6.100;0.100;13.100;3.100;31.100;882.100;0.200;1015.100;0.200;729.100;0.200;731.100;0.200;243.100;0.200;8.100;688.100;0.200;1226.100;0.200;100.100;0.200;4.100;2.100;907.100;0.200;19.100;145.100;0.200;5.100;507.100;0.200;19.100;4.100;2.100;129.100;0.200;34.100;20.100;10.100;23.100;688.100;0.200;34.100;7.100
08/26/25,1,9:51:14,10:51:19,102.000,62.000,15.100;76.100;0.200;7.100;144.100;0.200;3.100;65.100;0.200;93.100;0.200;5.100;128.100;0.200;96.100;0.200;19.100;484.100;0.200;77.100;0.200;16.100;140.100;0.200;2195.100;0.200;89.100;0.200;139.100;0.200;132.100;0.200;20.100;160.100;0.200;108.100;0.200;2.100;116.100;0.200;139.100;0.200;1511.100;0.200;1.100;122.100;0.200;1850.100;0.200;41.100;129.100;0.200;116.100;0.200;188.100;0.200;101.100;0.200;784.100;0.200;192.100;0.200;146.100;0.200;213.100;0.200;2846.100;0.200;230.100;0.200;469.100;0.200;228.100;0.200;1560.100;0.200;128.100;0.200;493.100;0.200;252.100;0.200;464.100;0.200;170.100;0.200;112.100;0.200;127.100;0.200;10.100;238.100;0.200;3.100;34.100;21.100;5.100;110.100;0.200;1.100;31.100;7.100;1.100;105.100;0.200;647.100;0.200;1348.100;0.200;168.100;0.200;1.100;26.100;2112.100;0.200;31.100;63.100;0.200;0.100;29.100;7.100;55.100;0.200;1057.100;0.200;4.100;232.100;0.200;46.100;14.100;617.100;0.200;1.100;164.100;0.200;3429.100;0.200;430.100;0.200;27.100;19.100;55.100;0.200;32.100;51.100;0.200;10.100;79.100;0.200;5.100;10.100;74.100;0.200;41.100;29.100;2555.100;0.200;34.100;2.100;9.100;421.100;0.200;15.100;4.100
08/26/25,2,9:51:14,10:51:19,135.000,48.000,654.100;275.100;0.200;1364.100;0.200;209.100;0.200;568.100;0.200;212.100;0.200;9.100;661.100;0.200;904.100;0.200;5.100;168.100;0.200;348.100;0.200;23.100;27.100;453.100;0.200;1238.100;0.200;719.100;0.200;21.100;173.100;0.200;313.100;0.200;5.100;24.100;18.100;19.100;10.100;23.100;24.100;13.100;24.100;31.100;2377.100;0.200;742.100;0.200;244.100;0.200;1121.100;0.200;9.100;215.100;0.200;12.100;21.100;1.100;16.100;9.100;14.100;1.100;1.100;4.100;21.100;815.100;0.200;126.100;0.200;5.100;8.100;11.100;8.100;10.100;97.100;0.200;10.100;321.100;0.200;39.100;1954.100;0.200;786.100;0.200;153.100;0.200;3.100;586.100;0.200;639.100;0.200;17.100;1.100;36.100;2.100;1288.100;0.200;155.100;0.200;13.100;11.100;11.100;165.100;0.200;0.100;8.100;7.100;24.100;73.100;0.200;22.100;11.100;6.100;1.100;26.100;56.100;0.200;457.100;0.200;24.100;36.100;6.100;740.100;0.200;2042.100;0.200;76.100;0.200;29.100;599.100;0.200;25.100;3.100;19.100;27.100;523.100;0.200;180.100;0.200;5.100;11.100;1.100;10.100;16.100;6.100;8.100;5.100;22.100;44.100;1.100;4.100;17.100;29.100;6.100;1.100;1.100;8.100;15.100;1450.100;0.200;588.100;0.200;45.100;21.100;26.100;1766.100;0.200;5.100;26.100;2749.100;0.200;1411.100;0.200;1504.100;0.200;11.100;24.100;70.100;0.200;13.100;11.100;11.100;1.100
08/26/25,3,9:51:14,10:51:19,108.000,68.000,191.100;217.100;0.200;107.100;0.200;142.100;0.200;131.100;0.200;169.100;0.200;38.100;52.100;0.200;1001.100;0.200;103.100;0.200;778.100;0.200;86.100;0.200;56.100;0.200;5.100;170.100;0.200;5.100;8.100;798.100;0.200;14.100;89.100;0.200;134.100;0.200;12.100;133.100;0.200;113.100;0.200;10.100;4.100;3.100;887.100;0.200;405.100;0.200;89.100;0.200;9.100;342.100;0.200;66.100;0.200;10.100;71.100;0.200;57.100;0.200;70.100;0.200;271.100;0.200;65.100;0.200;7.100;80.100;0.200;69.100;0.200;169.100;0.200;17.100;303.100;0.200;109.100;0.200;53.100;0.200;1.100;5.100;4.100;10.100;73.100;0.200;1290.100;0.200;423.100;0.200;23.100;3.100;1.100;1217.100;0.200;9.100;129.100;0.200;3.100;437.100;0.200;4.100;80.100;0.200;96.100;0.200;888.100;0.200;848.100;0.200;79.100;0.200;139.100;0.200;14.100;213.100;0.200;1181.100;0.200;247.100;0.200;99.100;0.200;1489.100;0.200;279.100;0.200;150.100;0.200;2225.100;0.200;2444.100;0.200;82.100;0.200;88.100;0.200;536.100;0.200;4.100;474.100;0.200;2415.100;0.200;44.100;2.100;0.100;16.100;13.100;3.100;37.100;516.100;0.200;778.100;0.200;19.100;30.100;7.100;11.100;4.100;605.100;0.200;482.100;0.200;85.100;0.200;1214.100;0.200;270.100;0.200;14.100;1.100;3179.100;0.200;50.100
08/26/25,4,9:51:14,10:51:19,91.000,59.000,512.100;1121.100;0.200;1081.100;0.200;342.100;0.200;222.100;0.200;1125.100;0.200;83.100;0.200;95.100;0.200;253.100;0.200;5.100;723.100;0.200;12.100;3.100;162.100;0.200;113.100;0.200;157.100;0.200;89.100;0.200;21.100;147.100;0.200;615.100;0.200;5.100;180.100;0.200;1015.100;0.200;20.100;1.100;22.100;9.100;7.100;5.100;90.100;0.200;11.100;90.100;0.200;28.100;2110.100;0.200;19.100;98.100;0.200;81.100;0.200;122.100;0.200;13.100;142.100;0.200;164.100;0.200;613.100;0.200;16.100;1051.100;0.200;94.100;0.200;1821.100;0.200;22.100;257.100;0.200;96.100;0.200;16.100;759.100;0.200;789.100;0.200;322.100;0.200;10.100;900.100;0.200;22.100;712.100;0.200;8.100;146.100;0.200;390.100;0.200;53.100;0.200;1425.100;0.200;928.100;0.200;498.100;0.200;8.100;540.100;0.200;8.100;645.100;0.200;18.100;24.100;129.100;0.200;279.100;0.200;467.100;0.200;1698.100;0.200;28.100;77.100;0.200;934.100;0.200;1006.100;0.200;20.100;412.100;0.200;11.100;61.100;0.200;1801.100;0.200;3019.100;0.200;22.100;8.100;815.100;0.200;79.100;0.200;11.100;5.100;669.100;0.200
08/26/25,5,9:51:14,10:51:19,92.000,67.000,226.100;106.100;0.200;122.100;0.200;75.100;0.200;108.100;0.200;3.100;6.100;120.100;0.200;91.100;0.200;400.100;0.200;130.100;0.200;102.100;0.200;477.100;0.200;114.100;0.200;4.100;100.100;0.200;112.100;0.200;710.100;0.200;86.100;0.200;5.100;575.100;0.200;105.100;0.200;91.100;0.200;117.100;0.200;98.100;0.200;617.100;0.200;1.100;139.100;0.200;183.100;0.200;85.100;0.200;105.100;0.200;903.100;0.200;22.100;89.100;0.200;824.100;0.200;3.100;118.100;0.200;121.100;0.200;439.100;0.200;611.100;0.200;5.100;350.100;0.200;1.100;97.100;0.200;523.100;0.200;2.100;1066.100;0.200;870.100;0.200;1060.100;0.200;84.100;0.200;67.100;0.200;155.100;0.200;18.100;446.100;0.200;1402.100;0.200;528.100;0.200;8.100;1465.100;0.200;3.100;5.100;833.100;0.200;0.100;1658.100;0.200;884.100;0.200;1464.100;0.200;106.100;0.200;200.100;0.200;7.100;11.100;682.100;0.200;1701.100;0.200;22.100;1.100;619.100;0.200;14.100;131.100;0.200;69.100;0.200;244.100;0.200;1694.100;0.200;897.100;0.200;1277.100;0.200;2.100;4.100;24.100;550.100;0.200;489.100;0.200;0.100;4.100;8.100;2102.100;0.200;3.100;70.100;0.200;1260.100;0.200;857.100;0.200
