Block,Time Range,K_Count,K_Duration,K_Percentage,M_Count,M_Duration,M_Percentage,X_Count,X_Duration,X_Percentage,Z_Count,Z_Duration,Z_Percentage
1,0.0-2.0 min,4,0.32,0.27,3,0.30,0.25,2,0.15,0.12,1,0.10,0.08
2,2.0-4.0 min,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
3,4.0-6.0 min,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
4,6.0-8.0 min,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
5,8.0-10.0 min,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
6,10.0-12.0 min,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
7,12.0-14.0 min,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
8,14.0-16.0 min,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00,2,0.25,0.21
9,16.0-18.0 min,1,0.16,0.13,1,0.37,0.31,1,0.68,0.57,1,0.43,0.36
10,18.0-20.0 min,51,3.72,3.10,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
11,20.0-22.0 min,7,0.45,0.38,4,6.57,5.47,0,0.00,0.00,0,0.00,0.00
12,22.0-24.0 min,8,0.97,0.81,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
13,24.0-26.0 min,8,0.63,0.53,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
14,26.0-28.0 min,8,3.09,2.58,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
15,28.0-30.0 min,10,12.27,10.22,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
16,30.0-32.0 min,33,2.79,2.32,7,23.68,19.73,0,0.00,0.00,0,0.00,0.00
17,32.0-34.0 min,41,3.65,3.04,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
18,34.0-36.0 min,19,1.81,1.51,2,15.89,13.24,0,0.00,0.00,0,0.00,0.00
19,36.0-38.0 min,20,1.39,1.16,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
20,38.0-40.0 min,6,0.55,0.46,2,7.90,6.58,0,0.00,0.00,0,0.00,0.00
21,40.0-42.0 min,20,1.78,1.48,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
22,42.0-44.0 min,59,5.89,4.91,2,3.16,2.63,0,0.00,0.00,0,0.00,0.00
23,44.0-46.0 min,11,0.86,0.72,0,0.00,0.00,0,0.00,0.00,0,0.00,0.00
24,46.0-47.5 min,4,0.43,0.36,3,0.26,0.22,2,0.16,0.13,1,0.13,0.11
