Behavior Observation Log
Animal: A1
Trial: T1
Session Date: 2025-02-15 00:10:33
Total Session Duration: 628.87 seconds

Key events summary:
  Key 'X' (twitch): 28 events, total held 88.03 seconds, average held 3.14 seconds (14.00%)
  Key 'M' (freeze): 7 events, total held 3.03 seconds, average held 0.43 seconds (0.48%)
  Key 'Z' (chew): 39 events, total held 142.20 seconds, average held 3.65 seconds (22.61%)
  Key 'K' (moving): 135 events, total held 10.71 seconds, average held 0.08 seconds (1.70%)

Visual Timeline:
Overall Timeline Scale (each column ≈ 6.3 sec):
00:00.....01:02.....02:05.....03:08.....04:11.....05:14.....06:17.....07:20.....08:23.....09:25.....

X (twitch): ...X.......XX.XXX.X.XX.XX.XXXXX..XX.......X..........X..................................X..........X
M (freeze): ...M.............................................MM...M.............................................
Z (chew): ..ZZZ......ZZ.ZZ.ZZZZ.Z.ZZZZZZZ.ZZZZZZZZZZ.Z.........Z.................................Z............
K (moving): ...K.............................................KKKKKK................................K............

Detailed Event Log:
Event#	Key	Label	Start(s)	End(s)	Duration(s)
137	K	moving	331.64	331.69	0.05
138	K	moving	331.79	331.85	0.05
139	K	moving	332.10	332.15	0.05
140	K	moving	332.35	332.45	0.10
141	K	moving	332.65	332.76	0.10
142	K	moving	332.86	332.91	0.05
143	K	moving	333.11	333.16	0.05
144	K	moving	333.26	333.31	0.05
145	K	moving	333.51	333.56	0.05
146	K	moving	333.66	333.71	0.05
147	K	moving	333.92	333.97	0.05
148	K	moving	334.07	334.17	0.10
149	K	moving	334.32	334.42	0.10
150	K	moving	334.62	334.67	0.05
151	K	moving	334.88	334.98	0.10
152	K	moving	335.18	335.23	0.05
153	K	moving	335.43	335.48	0.05
154	K	moving	335.73	335.79	0.05
155	K	moving	335.99	336.04	0.05
156	K	moving	336.24	336.29	0.05
157	K	moving	336.39	336.44	0.05
158	K	moving	336.74	336.80	0.05
159	K	moving	337.00	337.05	0.05
160	K	moving	337.15	337.25	0.10
161	K	moving	337.45	337.50	0.05
162	K	moving	337.60	337.65	0.05
163	K	moving	337.76	337.81	0.05
164	K	moving	337.91	337.96	0.05
165	K	moving	338.06	338.11	0.05
166	K	moving	338.21	338.26	0.05
167	K	moving	338.36	338.41	0.05
168	K	moving	338.67	338.72	0.05
169	K	moving	338.97	339.02	0.05
170	K	moving	339.17	339.22	0.05
171	K	moving	339.32	339.37	0.05
172	K	moving	339.47	339.52	0.05
173	K	moving	339.63	339.68	0.05
174	K	moving	339.78	339.88	0.10
175	K	moving	339.98	340.03	0.05
176	K	moving	340.13	340.18	0.05
177	K	moving	340.28	340.33	0.05
178	K	moving	340.43	340.48	0.05
179	K	moving	340.59	340.69	0.10
180	X	twitch	334.83	340.84	6.01
181	K	moving	340.74	340.84	0.10
182	Z	chew	334.83	340.89	6.06
183	K	moving	340.94	340.99	0.05
184	K	moving	342.76	342.81	0.05
185	K	moving	342.91	342.96	0.05
186	K	moving	343.06	343.11	0.05
187	K	moving	343.21	343.26	0.05
188	K	moving	343.36	343.41	0.05
189	K	moving	343.52	343.57	0.05
190	K	moving	343.72	343.77	0.05
191	K	moving	343.87	343.92	0.05
192	K	moving	344.02	344.07	0.05
193	K	moving	344.17	344.22	0.05
194	K	moving	344.37	344.42	0.05
