Behavior Observation Log
Session Date: 2025-02-10 01:50:49
Total Session Duration: 14.56 seconds
Total Number of X-Press Events: 29
Total Time X Pressed: 6.32 seconds
Percentage of Session Time X Pressed: 43.39%

Detailed Event Log:
Event#	Start(s)	End(s)	Duration(s)
1	1.86	2.53	0.67
2	3.14	3.35	0.21
3	3.54	3.70	0.16
4	4.20	4.24	0.03
5	4.27	4.30	0.03
6	4.33	4.37	0.03
7	4.40	4.43	0.03
8	4.47	4.50	0.03
9	4.53	4.56	0.03
10	4.60	4.63	0.03
11	4.66	4.70	0.03
12	4.73	4.76	0.03
13	4.80	4.83	0.03
14	4.86	4.90	0.03
15	4.93	4.96	0.03
16	4.99	5.03	0.03
17	5.06	5.09	0.03
18	5.13	5.16	0.03
19	5.19	5.22	0.03
20	5.26	5.29	0.03
21	5.32	5.36	0.03
22	5.39	5.42	0.03
23	5.46	5.49	0.03
24	5.52	5.55	0.03
25	5.59	5.62	0.03
26	5.65	5.69	0.03
27	5.72	5.75	0.03
28	5.79	5.82	0.03
29	10.07	14.52	4.45
