Behavior Observation Log
Animal: test_1_2_3_4
Trial: 1234431
Session Date: 2025-02-15 11:55:38
Total Session Duration: 2851.79 seconds

Key events summary:
  Key 'X' (twitch): 5 events, total held 0.99 seconds, average held 0.20 seconds (0.03%)
  Key 'M' (freeze): 24 events, total held 58.14 seconds, average held 2.42 seconds (2.04%)
  Key 'Z' (chew): 5 events, total held 0.91 seconds, average held 0.18 seconds (0.03%)
  Key 'K' (moving): 310 events, total held 40.80 seconds, average held 0.13 seconds (1.43%)

Visual Timeline:

Detailed Visual Timeline (each line represents 15 minutes):
Legend: '.' = no activity, letter = key pressed


X (twitch):
X................................................................................................... [00:00 - 15:00]
........X........................................................................................... [15:00 - 30:00]
.................................................................................................... [30:00 - 45:00]
................X................................................................................... [45:00 - 47:31]


M (freeze):
M................................................................................................... [00:00 - 15:00]
........M................................M.......................................................... [15:00 - 30:00]
M.....M...................M.........M....................M....M..........................M.......... [30:00 - 45:00]
................M................................................................................... [45:00 - 47:31]


Z (chew):
Z.................................................................................................Z. [00:00 - 15:00]
........Z........................................................................................... [15:00 - 30:00]
.................................................................................................... [30:00 - 45:00]
................Z................................................................................... [45:00 - 47:31]


K (moving):
K................................................................................................... [00:00 - 15:00]
........K.................KK.............K.....K........K.........K..........K......K...........KK.. [15:00 - 30:00]
.K....K...........K.......K........KK.........KK.........K...............K........K.....KK..K.K...K. [30:00 - 45:00]
................K................................................................................... [45:00 - 47:31]


Detailed Event Log:
Event#	Key	Label	Start(s)	End(s)	Duration(s)
145	K	moving	1858.34	1858.45	0.11
146	K	moving	1858.50	1858.60	0.10
147	K	moving	1858.65	1859.08	0.42
148	M	freeze	1859.29	1859.35	0.06
149	M	freeze	1859.45	1859.51	0.05
150	M	freeze	1859.63	1859.68	0.06
151	M	freeze	1859.74	1859.84	0.10
152	M	freeze	1859.90	1868.29	8.39
153	K	moving	1965.52	1965.57	0.05
154	K	moving	1965.67	1965.73	0.05
155	K	moving	1965.83	1965.89	0.05
156	K	moving	1965.94	1966.05	0.11
157	K	moving	1966.10	1966.21	0.11
158	K	moving	1966.26	1966.31	0.05
159	K	moving	1966.39	1966.50	0.11
160	K	moving	1966.55	1966.67	0.12
161	K	moving	1966.72	1966.77	0.05
162	K	moving	1966.88	1966.93	0.05
163	K	moving	1967.00	1967.11	0.11
164	K	moving	1967.16	1967.26	0.10
165	K	moving	1967.31	1967.47	0.15
166	K	moving	1967.58	1967.68	0.10
167	K	moving	1967.80	1967.94	0.14
168	K	moving	1968.04	1968.14	0.10
169	K	moving	1968.25	1968.35	0.10
170	K	moving	1968.46	1968.52	0.06
171	K	moving	1968.67	1968.73	0.06
172	K	moving	1968.83	1968.88	0.05
173	K	moving	1969.04	1969.09	0.05
174	K	moving	1969.21	1969.27	0.06
175	K	moving	1969.32	1969.54	0.22
176	K	moving	1969.69	1969.79	0.10
177	K	moving	1969.85	1970.16	0.31
178	K	moving	2037.39	2037.46	0.07
179	K	moving	2037.57	2037.62	0.05
180	K	moving	2037.67	2037.78	0.10
181	K	moving	2037.83	2037.88	0.05
182	K	moving	2037.98	2038.04	0.05
183	K	moving	2038.09	2038.20	0.10
184	K	moving	2038.25	2038.30	0.05
185	K	moving	2038.41	2038.46	0.06
186	K	moving	2038.52	2038.62	0.11
187	K	moving	2038.68	2038.73	0.05
188	K	moving	2038.84	2038.89	0.05
189	K	moving	2038.99	2039.04	0.05
190	K	moving	2039.15	2039.20	0.05
191	K	moving	2039.26	2039.36	0.10
192	K	moving	2039.46	2039.51	0.05
193	K	moving	2039.56	2039.72	0.16
194	M	freeze	2040.08	2041.46	1.37
195	K	moving	2121.67	2121.77	0.10
196	K	moving	2121.83	2121.93	0.11
197	K	moving	2121.98	2122.09	0.11
198	K	moving	2122.14	2122.25	0.10
199	K	moving	2122.30	2122.35	0.05
200	K	moving	2122.45	2122.50	0.05
201	K	moving	2122.60	2122.65	0.05
202	K	moving	2122.76	2122.81	0.05
203	K	moving	2122.91	2122.96	0.05
204	K	moving	2123.06	2123.11	0.05
205	K	moving	2123.16	2123.26	0.10
206	K	moving	2123.31	2123.42	0.10
207	K	moving	2123.47	2123.57	0.10
208	K	moving	2123.62	2123.72	0.10
209	K	moving	2123.78	2123.89	0.11
210	K	moving	2123.94	2124.04	0.10
211	K	moving	2124.09	2124.20	0.11
212	K	moving	2124.25	2124.33	0.08
213	K	moving	2124.43	2124.71	0.28
214	M	freeze	2124.81	2139.32	14.51
215	K	moving	2222.30	2222.36	0.06
216	K	moving	2222.41	2222.52	0.11
217	K	moving	2222.57	2222.62	0.05
218	K	moving	2222.73	2222.78	0.05
219	K	moving	2222.83	2222.88	0.05
220	K	moving	2223.09	2223.15	0.05
221	K	moving	2223.25	2223.30	0.05
222	K	moving	2223.36	2223.46	0.11
223	K	moving	2223.52	2223.57	0.05
224	K	moving	2223.62	2223.68	0.05
225	K	moving	2223.78	2223.83	0.05
226	K	moving	2223.94	2223.99	0.05
227	K	moving	2224.04	2224.15	0.11
228	K	moving	2224.20	2224.26	0.05
229	K	moving	2224.37	2224.42	0.05
230	K	moving	2224.47	2224.57	0.10
231	K	moving	2224.63	2224.69	0.06
232	K	moving	2224.74	2224.86	0.12
233	K	moving	2224.91	2225.01	0.10
234	K	moving	2225.06	2225.11	0.05
235	K	moving	2315.93	2316.05	0.12
236	K	moving	2316.10	2316.21	0.11
237	K	moving	2316.26	2316.37	0.11
238	K	moving	2316.42	2316.47	0.05
239	K	moving	2316.52	2316.63	0.10
240	K	moving	2316.68	2316.73	0.05
241	M	freeze	2316.89	2317.90	1.01
242	M	freeze	2360.01	2366.90	6.90
243	K	moving	2457.51	2457.63	0.11
244	K	moving	2457.73	2457.78	0.05
245	K	moving	2458.03	2458.13	0.10
246	K	moving	2458.19	2458.25	0.06
247	K	moving	2458.35	2458.40	0.05
248	K	moving	2458.51	2458.57	0.06
249	K	moving	2458.62	2458.67	0.05
250	K	moving	2458.78	2458.86	0.08
251	K	moving	2458.93	2459.04	0.11
252	K	moving	2459.09	2459.21	0.12
253	K	moving	2459.26	2459.37	0.11
254	K	moving	2459.43	2459.54	0.11
255	K	moving	2459.59	2459.70	0.10
256	K	moving	2459.75	2459.85	0.10
257	K	moving	2459.90	2460.01	0.10
258	K	moving	2460.06	2460.11	0.05
259	K	moving	2460.23	2460.28	0.05
260	K	moving	2460.33	2460.46	0.12
261	K	moving	2460.51	2460.61	0.11
262	K	moving	2460.72	2460.83	0.12
263	K	moving	2541.67	2541.77	0.11
264	K	moving	2541.88	2541.93	0.05
265	K	moving	2542.04	2542.09	0.06
266	K	moving	2542.15	2542.25	0.10
267	K	moving	2595.76	2595.81	0.05
268	K	moving	2595.91	2595.96	0.05
269	K	moving	2596.01	2596.07	0.05
270	K	moving	2596.17	2596.22	0.05
271	K	moving	2596.33	2596.52	0.19
272	K	moving	2596.60	2596.66	0.05
273	K	moving	2596.76	2596.81	0.05
274	K	moving	2596.86	2596.98	0.12
275	K	moving	2597.04	2597.09	0.05
276	K	moving	2597.19	2597.26	0.06
277	K	moving	2597.32	2597.38	0.06
278	K	moving	2597.48	2597.53	0.05
279	K	moving	2597.65	2597.70	0.05
280	K	moving	2597.80	2597.86	0.05
281	K	moving	2597.96	2598.01	0.05
282	K	moving	2598.06	2598.17	0.11
283	K	moving	2598.28	2598.33	0.05
284	K	moving	2598.38	2598.48	0.10
285	K	moving	2598.59	2598.64	0.05
286	K	moving	2598.74	2598.84	0.10
287	K	moving	2598.89	2599.00	0.10
288	K	moving	2599.05	2599.10	0.05
289	K	moving	2599.20	2599.25	0.05
290	K	moving	2599.35	2599.40	0.05
291	K	moving	2599.50	2599.61	0.10
292	K	moving	2599.71	2599.76	0.05
293	K	moving	2599.86	2599.91	0.05
294	K	moving	2600.01	2600.11	0.10
295	K	moving	2600.16	2600.27	0.10
296	K	moving	2600.32	2602.22	1.90
297	K	moving	2602.33	2602.38	0.05
298	K	moving	2602.49	2602.54	0.05
299	K	moving	2602.64	2602.69	0.05
300	K	moving	2602.80	2602.85	0.05
301	K	moving	2602.95	2603.00	0.05
302	K	moving	2603.10	2603.15	0.05
303	K	moving	2603.20	2603.31	0.10
304	K	moving	2603.36	2603.41	0.05
305	K	moving	2603.51	2603.56	0.05
306	K	moving	2603.66	2603.71	0.05
307	K	moving	2603.82	2603.87	0.05
308	K	moving	2603.97	2604.02	0.05
309	K	moving	2604.13	2604.18	0.05
310	K	moving	2604.24	2604.34	0.10
311	K	moving	2604.40	2604.50	0.11
312	K	moving	2604.56	2604.67	0.11
313	M	freeze	2604.89	2604.95	0.06
314	M	freeze	2605.00	2608.10	3.10
315	K	moving	2631.65	2631.70	0.05
316	K	moving	2631.77	2631.88	0.11
317	K	moving	2631.93	2631.99	0.06
318	K	moving	2632.05	2632.10	0.05
319	K	moving	2632.23	2632.28	0.05
320	K	moving	2632.33	2632.40	0.07
321	K	moving	2632.51	2632.58	0.07
322	K	moving	2632.63	2632.68	0.05
323	K	moving	2632.79	2632.84	0.05
324	K	moving	2651.25	2651.36	0.12
325	K	moving	2651.47	2651.52	0.05
326	K	moving	2651.58	2651.68	0.10
327	K	moving	2682.99	2683.05	0.06
328	K	moving	2683.16	2683.22	0.05
329	K	moving	2683.27	2683.38	0.11
330	K	moving	2683.43	2683.54	0.11
331	K	moving	2683.59	2683.69	0.10
332	K	moving	2690.01	2690.06	0.05
333	K	moving	2690.23	2690.28	0.06
334	K	moving	2690.40	2690.46	0.06
335	Z	chew	2845.43	2845.56	0.13
336	X	twitch	2846.32	2846.38	0.06
337	X	twitch	2846.55	2846.65	0.10
338	M	freeze	2847.55	2847.66	0.11
339	M	freeze	2847.82	2847.87	0.05
340	M	freeze	2848.04	2848.14	0.10
341	K	moving	2848.75	2848.80	0.05
342	K	moving	2849.08	2849.19	0.12
343	K	moving	2849.40	2849.51	0.11
344	K	moving	2849.72	2849.88	0.16
