Behavior Observation Log
Session Date: 2025-02-10 01:54:20
Total Session Duration: 6.84 seconds
Total Number of X-Press Events: 39
Total Time X Pressed: 3.37 seconds
Percentage of Session Time X Pressed: 49.20%

Detailed Event Log:
Event#	Start(s)	End(s)	Duration(s)
1	1.73	2.82	1.09
2	3.32	3.36	0.03
3	3.39	3.42	0.03
4	3.45	3.49	0.03
5	3.52	3.55	0.03
6	3.59	3.62	0.03
7	3.65	3.68	0.03
8	3.73	3.75	0.02
9	3.79	3.82	0.03
10	3.85	3.88	0.03
11	3.92	3.95	0.03
12	3.98	4.02	0.03
13	4.05	4.08	0.03
14	4.11	4.15	0.03
15	4.18	4.21	0.03
16	4.25	4.28	0.03
17	4.31	4.35	0.03
18	4.38	4.41	0.03
19	4.45	4.48	0.03
20	4.51	4.54	0.03
21	4.58	4.61	0.03
22	4.64	4.68	0.03
23	4.71	4.74	0.03
24	4.77	4.81	0.03
25	4.84	4.87	0.03
26	4.91	4.94	0.03
27	4.97	5.01	0.03
28	5.04	5.07	0.03
29	5.10	5.14	0.03
30	5.17	5.20	0.03
31	5.24	5.27	0.03
32	5.30	5.34	0.03
33	5.37	5.40	0.03
34	5.44	5.47	0.03
35	5.50	5.53	0.03
36	5.57	5.60	0.03
37	5.63	5.67	0.03
38	5.70	5.73	0.03
39	5.77	6.84	1.07
