Date,Client/Category/Study,Hours,Percentage,Suggested Time Window
2024-08-01,IVS - Admin,3.27,57.20,10:10-13:26
2024-08-01,BHVN - BD,1.70,29.70,15:00-16:42
2024-08-01,IVS - BD,0.75,13.10,14:15-15:00
2024-08-01,Total,5.72,100.00,10:10-15:53

2024-08-02,IVS - Admin,1.78,58.68,09:55-11:41
2024-08-02,BHVN - BD,1.25,41.32,14:30-15:45
2024-08-02,Total,3.03,100.00,09:55-12:56

2024-08-05,IVS - Admin,0.52,100.00,10:25-10:56
2024-08-05,Total,0.52,100.00,10:25-10:56

2024-08-06,Roche - Study - Hippocrates,0.36,100.00,09:05-09:26
2024-08-06,Total,0.36,100.00,09:05-09:26

2024-08-07,IVS - Admin,1.16,46.44,13:30-14:40
2024-08-07,BHVN - Study - Euwe,0.88,35.17,23:52-00:44
2024-08-07,Angelini - Study - Drifter,0.46,18.39,17:05-17:32
2024-08-07,Total,2.50,100.00,13:30-16:00

2024-08-08,BHVN - BD,0.47,56.15,14:32-15:00
2024-08-08,Jazz - Study - Jotunn,0.36,43.85,14:32-14:53
2024-08-08,Total,0.83,100.00,14:32-15:21

2024-08-09,Jazz - Study - Jotunn,1.95,100.00,09:17-11:14
2024-08-09,Total,1.95,100.00,09:17-11:14

2024-08-14,Roche - Study - Hippocrates,0.76,73.14,13:13-13:58
2024-08-14,BHVN - BD,0.28,26.86,12:43-13:00
2024-08-14,Total,1.04,100.00,12:43-13:45

2024-08-15,BHVN - BD,1.87,56.27,07:40-09:32
2024-08-15,BHVN - Study - Ivory,1.00,30.14,10:00-11:00
2024-08-15,Axonis - BD,0.45,13.59,11:15-11:42
2024-08-15,Total,3.32,100.00,07:40-10:59

2024-08-19,BHVN - Study - Euwe,5.50,51.18,08:30-14:00
2024-08-19,IVS - Admin,5.25,48.82,15:00-20:14
2024-08-19,Total,10.75,100.00,08:30-19:14

2024-08-20,IVS - Admin,3.90,85.69,14:15-18:09
2024-08-20,BHVN - Study - Euwe,0.65,14.31,22:30-23:09
2024-08-20,Total,4.55,100.00,14:15-18:48

2024-08-21,BHVN - Study - Euwe,1.86,50.98,12:16-14:07
2024-08-21,IVS - Admin,1.79,49.02,09:23-11:10
2024-08-21,Total,3.65,100.00,09:23-13:02

2024-08-22,IVS - Admin,4.05,59.64,11:18-15:21
2024-08-22,Axonis - Study - Parshendi,1.93,28.33,11:18-13:13
2024-08-22,BHVN - Study - Euwe,0.47,6.96,15:56-16:25
2024-08-22,Encoded - Study - Ialai,0.34,5.07,16:25-16:45
2024-08-22,Total,6.80,100.00,11:18-18:05

2024-08-23,IVS - Admin,4.29,47.40,13:38-17:56
2024-08-23,BHVN - Study - Raboniel,2.88,31.89,09:45-12:38
2024-08-23,Encoded - Study - Ialai,1.87,20.71,21:34-23:27
2024-08-23,Total,9.04,100.00,09:45-18:47

2024-08-24,Encoded - Study - Ialai,0.50,100.00,08:15-08:45
2024-08-24,Total,0.50,100.00,08:15-08:45

2024-08-25,IVS - Scientific,0.48,100.00,21:04-21:33
2024-08-25,Total,0.48,100.00,21:04-21:33

2024-08-26,BHVN - Study - Raboniel,5.75,90.09,10:15-16:00
2024-08-26,BHVN - BD,0.63,9.91,23:01-23:39
2024-08-26,Total,6.38,100.00,10:15-16:37

2024-08-27,BHVN - BD,2.52,61.95,11:00-13:31
2024-08-27,Angelini - Study - Drifter,1.55,38.05,14:52-16:25
2024-08-27,Total,4.07,100.00,11:00-15:04

2024-08-28,BHVN - BD,2.89,43.98,09:18-12:12
2024-08-28,IVS - BD,2.68,40.81,11:00-13:41
2024-08-28,IVS - Admin,1.00,15.21,15:30-16:30
2024-08-28,Total,6.57,100.00,09:18-15:53

2024-08-29,IVS - Admin,3.83,46.17,10:30-14:19
2024-08-29,BHVN - BD,3.11,37.54,09:01-12:07
2024-08-29,IVS - Scientific,1.35,16.28,09:01-10:22
2024-08-29,Total,8.29,100.00,09:01-17:18

2024-08-30,Axonis - Study - Parshendi,6.68,74.22,10:34-17:15
2024-08-30,Jazz -  Study,1.32,14.71,09:35-10:54
2024-08-30,Angelini - Study - Rasputin,1.00,11.07,09:35-10:34
2024-08-30,Total,9.01,100.00,09:35-18:35

2024-08-31,IVS - Scientific,1.02,100.00,13:18-14:20
2024-08-31,Total,1.02,100.00,13:18-14:20

