Date,Client/Category/Study,Hours,Percentage,Suggested Time Window
2024-04-22,BHVN - Study - Raboniel,3.46,43.95,12:59-16:27
2024-04-22,Total,7.88,100.00,09:59-17:52

2024-04-23,Encoded - Study - Waxilliam,4.25,48.73,11:15-15:30
2024-04-23,IVS - Admin,1.50,17.20,15:30-17:00
2024-04-23,Angelini - BD,1.15,13.19,09:50-11:00
2024-04-23,BHVN - BD,1.07,12.28,22:55-23:59
2024-04-23,Axonis - Study - Alhazen,0.75,8.60,17:00-17:45
2024-04-23,Total,8.72,100.00,09:50-18:34

2024-04-24,Encoded - Study - Waxilliam,3.58,47.62,12:25-16:00
2024-04-24,BHVN - BD,2.23,29.58,08:53-11:06
2024-04-24,IVS - Admin,1.40,18.61,16:00-17:24
2024-04-24,BHVN - Study - Xavier,0.32,4.19,08:53-09:12
2024-04-24,Total,7.52,100.00,08:53-16:24

2024-04-25,BHVN - Study - Doomslug,4.07,57.18,13:00-17:04
2024-04-25,Angelini - Study - Drifter,1.80,25.24,23:23-01:11
2024-04-25,IVS - BD,0.75,10.54,11:30-12:15
2024-04-25,IVS - Scientific,0.50,7.03,10:00-10:30
2024-04-25,Total,7.11,100.00,10:00-17:06

2024-04-26,Angelini - BD,1.69,100.00,09:22-11:03
2024-04-26,Total,1.69,100.00,09:22-11:03

2024-04-28,BHVN - Study - Frejya,2.67,100.00,13:27-16:07
2024-04-28,Total,2.67,100.00,13:27-16:07

2024-04-29,BHVN - Study - Frejya,4.83,64.20,10:02-14:51
2024-04-29,BHVN - BD,0.69,9.19,16:50-17:31
2024-04-29,Encoded - Study - Waxilliam,0.69,9.18,10:02-10:43
2024-04-29,IVS - Admin,0.53,7.03,10:02-10:33
2024-04-29,Jazz - Study - Jotunn,0.50,6.64,16:00-16:30
2024-04-29,Roche - Study - Hippocrates,0.28,3.76,11:02-11:19
2024-04-29,Total,7.53,100.00,10:02-17:33

2024-04-30,BHVN - Study - Vandell,0.94,69.30,22:38-23:35
2024-04-30,BHVN - Study - Horneater,0.42,30.70,23:35-00:00
2024-04-30,Total,1.36,100.00,22:38-00:00

