year,#Morfigo,#Konforme,#Skibidi,#Poputah,#Elgibidi,#Noffinoffs
0,1,0,0,1,4,4
1,1,0,0,0,3,3
2,0,0,0,0,1,2
3,0,0,0,0,1,2
4,0,0,0,0,1,5
5,0,0,0,0,1,7
6,0,0,0,0,1,5
7,0,0,0,0,0,7
8,0,0,0,0,0,10
